model;param;initial;lower_limit;upper_limit;provided_initial
dpb;local cons_travel = 1.85;1.85;-2;2;1.85
dpb;local beta_retired = -0.419;-0.419;-2;2;-0.419
dpb;local beta_fulltime = 14.10;17.16900842;10;19.16900842;14.1
dpb;local beta_unemployed = -0.329;-0.450276634;-2.450276634;1.549723366;-0.329
dpb;local beta_female_travel = 0.348;1.699543379;-0.300456621;3.699543379;0.348
dpb;local beta_age2025_travel = -2.32;-2.32;-4;4;-2.32
dpb;local beta_age2635_travel = -2.87;-2.87;-4;4;-2.87
dpb;local beta_age3650_travel = -2.68;-0.983977714;-4;4;-2.68
dpb;local beta_age5165_travel = -2.87;-1.110812026;-4;4;-2.87
dpb;local beta_age65_travel = -3.01;-1.882195843;-4;4;-3.01
dpb;local beta_maleage4_travel = -0.0547;-0.144781492;-4;4;-0.0547
dpb;local beta_maleage515_travel = -0.0436;-12.26515037;-4;4;-0.0436
dpb;local beta_femalenone_travel = -0.0541;-0.0541;-4;4;-0.0541
dpb;local beta_femaleage4_travel = -0.243;-7.087699282;-4;4;-0.243
dpb;local beta_femaleage515_travel = -0.0453;-0.139679538;-4;4;-0.0453
dpb;local beta_onlyadults_travel = 0.326;-9.822398656;-11.82239866;10;0.326
dpb;local beta_income_travel = 0.162;-1.393649173;-3.393649173;3;0.162
dpb;local beta_missingincome_travel = -0.427;6.998231473;-4;4;-0.427
dpb;local beta_twoplus_car_travel = 1.2;2.656672291;-4;4;1.2
dpb;local beta_one_car_travel = 1.2;1.2;-4;4;1.2
dpb;local beta_motoravail_travel = -0.235;3.761126278;-4;4;-0.235
dpb;local beta_dptour_logsum = 0.227;0.218653974;-1.781346026;2.218653974;0.227
dps;local beta_stop_work = -4.829;-7.583133495;-10;10;-4.829
dps;local beta_stop_edu = -4.829;-4.115647122;-10;10;-4.829
dps;local beta_stop_shop = -5.566;-5.566;-10;10;-5.566
dps;local beta_stop_others = -3.96;-1.573219561;-10;10;-3.96
dps;local beta_universitystudent_work = 0;-1.00542099;-3.00542099;0.99457901;0
dps;local beta_universitystudent_edu = 0;-1.158494777;-3.158494777;0.841505223;0
dps;local beta_universitystudent_others = 0.144;-1.844943769;-3.844943769;0.155056231;0.144
dps;local beta_retired_work = 0;-7.395730797;-5;5;0
dps;local beta_retired_edu = 0;-1.048732904;-3.048732904;0.951267096;0
dps;local beta_retired_shop = 1.0;3.805927898;1.805927898;5.805927898;1
dps;local beta_retired_others = 0.236;-0.441451264;-2.441451264;1.558548736;0.236
dps;local beta_unemployed_edu = 0;-2.017010655;-4.017010655;-0.017010655;0
dps;local beta_unemployed_others = 1.06;5.395164272;3.395164272;7.395164272;1.06
dps;local beta_student16_edu = 0;0.378534523;-1.621465477;2.378534523;0
dps;local beta_student16_shop = 0.236;-1.901526104;-3.901526104;0.098473896;0.236
dps;local beta_student16_others = -0.734;0.819290695;-1.180709305;2.819290695;-0.734
dps;local beta_student515_edu = 0;-2.044830843;-4.044830843;-0.044830843;0
dps;local beta_student515_shop = -1.51;-1.453893532;-3.453893532;0.546106468;-1.51
dps;local beta_student515_others = -1.07;-0.633350688;-2.633350688;1.366649312;-1.07
dps;local beta_child4_work = 0;-9.794034435;-10;10;0
dps;local beta_child4_edu = 0;2.433764308;0.433764308;4.433764308;0
dps;local beta_child4_shop = 0;-2.105099933;-4.105099933;-0.105099933;0
dps;local beta_age2025_work = 0.541;-1.077268739;-10;10;0.541
dps;local beta_age2025_edu = 0;7.881225684;5.881225684;9.881225684;0
dps;local beta_age2025_shop = 0.533;1.4029717;-0.5970283;3.4029717;0.533
dps;local beta_age2025_others = -0.654;-7.301013481;-9.301013481;-5.301013481;-0.654
dps;local beta_age2635_work = -0.0821;6.487268731;2;10;-0.0821
dps;local beta_age2635_shop = 0.295;6.607298617;4.607298617;8.607298617;0.295
dps;local beta_age5165_work = 0;-3.252137714;-5;5;0
dps;local beta_age5165_edu = 0;-4.441556079;-6.441556079;-2.441556079;0
dps;local beta_maleage4_work = 0.0552;-0.474372021;-5;5;0.0552
dps;local beta_maleage4_edu = 0;9.69312;7.69312;11.69312;0
dps;local beta_maleage4_shop = -1.05;2.132409529;0.132409529;4.132409529;-1.05
dps;local beta_maleage4_others = 0.268;3.759038285;1.759038285;5.759038285;0.268
dps;local beta_maleage515_work = 0.119;0.055704424;-5;5;0.119
dps;local beta_maleage515_edu = 0;5.299706126;3.299706126;7.299706126;0
dps;local beta_maleage515_shop = -0.871;-3.487335255;-5.487335255;-1.487335255;-0.871
dps;local beta_maleage515_others = 0.482;-3.563414198;-5.563414198;-1.563414198;0.482
dps;local beta_femalenone_work = -0.528;2.064658121;-5;5;-0.528
dps;local beta_femalenone_edu = 0;-3.995550483;-5.995550483;-1.995550483;0
dps;local beta_femalenone_shop = 0.618;3.318251902;1.318251902;5.318251902;0.618
dps;local beta_femaleage4_work = 0.382;-3.84800245;-5;5;0.382
dps;local beta_femaleage4_edu = 0;1.645077027;-0.354922973;3.645077027;0
dps;local beta_femaleage4_shop = 0.132;-1.176802512;-3.176802512;0.823197488;0.132
dps;local beta_femaleage4_others = 0.242;-1.557051647;-3.557051647;0.442948353;0.242
dps;local beta_femaleage515_work = -0.343;-1.347404106;-5;5;-0.343
dps;local beta_femaleage515_edu = 0;6.417876317;4.417876317;8.417876317;0
dps;local beta_femaleage515_shop = 0.391;-5.325430302;-7.325430302;-3.325430302;0.391
dps;local beta_femaleage515_others = 0.285;-13.15500814;-15.15500814;-11.15500814;0.285
dps;local beta_onlyadults_work = 0.372;0.372;-5;5;0.372
dps;local beta_onlyadults_edu = 0;-8.477074727;-10.47707473;-6.477074727;0
dps;local beta_onlyadults_shop = -0.173;-4.713273365;-6.713273365;-2.713273365;-0.173
dps;local beta_onlyworkers_work = -0.235;-1;-5;5;-0.235
dps;local beta_onlyworkers_shop = 0.0257;-0.799810264;-2.799810264;1.200189736;0.0257
dps;local beta_income_work = 0.413;-2.544376176;-5;5;0.413
dps;local beta_income_edu = 0;-1.546794347;-3.546794347;0.453205653;0
dps;local beta_income_shop = 0.147;0.271673365;-1.728326635;2.271673365;0.147
