model,param,module,include,initial,lower_limit,upper_limit,provided_initial
dpb,local cons_travel = 1.85,preday,TRUE,1.85,-2,2,1.85
dpb,local beta_homemaker = 0,preday,TRUE,0,0,0,0
dpb,local beta_retired = -0.419,preday,TRUE,-0.419,-2,2,-0.419
dpb,local beta_fulltime = 14.10,preday,TRUE,17.16900842,10,19.16900842,14.1
dpb,local beta_parttime = 0,preday,TRUE,0,0,0,0
dpb,local beta_selfemployed = 0,preday,TRUE,0,0,0,0
dpb,local beta_unemployed = -0.329,preday,TRUE,-0.450276634,-2.450276634,1.549723366,-0.329
dpb,local beta_female_travel = 0.348,preday,TRUE,1.699543379,-0.300456621,3.699543379,0.348
dpb,local beta_age2025_travel = -2.32,preday,TRUE,-2.32,-4,4,-2.32
dpb,local beta_age2635_travel = -2.87,preday,TRUE,-2.87,-4,4,-2.87
dpb,local beta_age3650_travel = -2.68,preday,TRUE,-0.983977714,-4,4,-2.68
dpb,local beta_age5165_travel = -2.87,preday,TRUE,-1.110812026,-4,4,-2.87
dpb,local beta_age65_travel = -3.01,preday,TRUE,-1.882195843,-4,4,-3.01
dpb,local beta_maleage4_travel = -0.0547,preday,TRUE,-0.144781492,-4,4,-0.0547
dpb,local beta_maleage515_travel = -0.0436,preday,TRUE,-12.26515037,-4,4,-0.0436
dpb,local beta_femalenone_travel = -0.0541,preday,TRUE,-0.0541,-4,4,-0.0541
dpb,local beta_femaleage4_travel = -0.243,preday,TRUE,-7.087699282,-4,4,-0.243
dpb,local beta_femaleage515_travel = -0.0453,preday,TRUE,-0.139679538,-4,4,-0.0453
dpb,local beta_onlyadults_travel = 0.326,preday,TRUE,-9.822398656,-11.82239866,10,0.326
dpb,local beta_income_travel = 0.162,preday,TRUE,-1.393649173,-3.393649173,3,0.162
dpb,local beta_missingincome_travel = -0.427,preday,TRUE,6.998231473,-4,4,-0.427
dpb,local beta_workathome_travel = 0,preday,TRUE,0,0,0,0
dpb,local beta_twoplus_car_travel = 1.2,preday,TRUE,2.656672291,-4,4,1.2
dpb,local beta_one_car_travel = 1.2,preday,TRUE,1.2,-4,4,1.2
dpb,local beta_motoravail_travel = -0.235,preday,TRUE,3.761126278,-4,4,-0.235
dpb,local beta_dptour_logsum = 0.227,preday,TRUE,0.218653974,-1.781346026,2.218653974,0.227
dps,local beta_stop_work = -4.829,preday,TRUE,-7.583133495,-10,10,-4.829
dps,local beta_stop_edu = -4.829,preday,TRUE,-4.115647122,-10,10,-4.829
dps,local beta_stop_shop = -5.566,preday,TRUE,-5.566,-10,10,-5.566
dps,local beta_stop_others = -3.96,preday,TRUE,-1.573219561,-10,10,-3.96
dps,local beta_parttime_work = 0,preday,TRUE,0,0,0,0
dps,local beta_parttime_edu = 0,preday,TRUE,0,0,0,0
dps,local beta_parttime_shop = 0,preday,TRUE,0,0,0,0
dps,local beta_parttime_others = 0,preday,TRUE,0,0,0,0
dps,local beta_selfemployed_work = 0,preday,TRUE,0,0,0,0
dps,local beta_selfemployed_edu = 0,preday,TRUE,0,0,0,0
dps,local beta_selfemployed_shop = 0,preday,TRUE,0,0,0,0
dps,local beta_selfemployed_others = 0,preday,TRUE,0,0,0,0
dps,local beta_universitystudent_work = 0,preday,TRUE,-1.00542099,-3.00542099,0.99457901,0
dps,local beta_universitystudent_edu = 0,preday,TRUE,-1.158494777,-3.158494777,0.841505223,0
dps,local beta_universitystudent_shop = 0,preday,TRUE,0,0,0,0
dps,local beta_universitystudent_others = 0.144,preday,TRUE,-1.844943769,-3.844943769,0.155056231,0.144
dps,local beta_homemaker_work = 0,preday,TRUE,0,0,0,0
dps,local beta_homemaker_edu = 0,preday,TRUE,0,0,0,0
dps,local beta_homemaker_shop = 0,preday,TRUE,0,0,0,0
dps,local beta_homemaker_others = 0,preday,TRUE,0,0,0,0
dps,local beta_retired_work = 0,preday,TRUE,-7.395730797,-5,5,0
dps,local beta_retired_edu = 0,preday,TRUE,-1.048732904,-3.048732904,0.951267096,0
dps,local beta_retired_shop = 1.0,preday,TRUE,3.805927898,1.805927898,5.805927898,1
dps,local beta_retired_others = 0.236,preday,TRUE,-0.441451264,-2.441451264,1.558548736,0.236
dps,local beta_unemployed_work = 0,preday,TRUE,-999,0,0,0
dps,local beta_unemployed_edu = 0,preday,TRUE,-2.017010655,-4.017010655,-0.017010655,0
dps,local beta_unemployed_shop = 1.14,preday,TRUE,1.14,1.14,1.14,1.14
dps,local beta_unemployed_others = 1.06,preday,TRUE,5.395164272,3.395164272,7.395164272,1.06
dps,local beta_nationalservice_work = 0,preday,TRUE,0,0,0,0
dps,local beta_nationalservice_edu = 0,preday,TRUE,0,0,0,0
dps,local beta_nationalservice_shop = 0,preday,TRUE,0,0,0,0
dps,local beta_nationalservice_others = 0,preday,TRUE,0,0,0,0
dps,local beta_voluntary_work = 0,preday,TRUE,0,0,0,0
dps,local beta_voluntary_edu = 0,preday,TRUE,0,0,0,0
dps,local beta_voluntary_shop = 0,preday,TRUE,0,0,0,0
dps,local beta_voluntary_others = 0,preday,TRUE,0,0,0,0
dps,local beta_domestic_work= 0,preday,TRUE,0,0,0,0
dps,local beta_domestic_edu = 0,preday,TRUE,0,0,0,0
dps,local beta_domestic_shop = 0,preday,TRUE,0,0,0,0
dps,local beta_domestic_others = 0,preday,TRUE,0,0,0,0
dps,local beta_otherworker_work = 0,preday,TRUE,0,0,0,0
dps,local beta_otherworker_edu = 0,preday,TRUE,0,0,0,0
dps,local beta_otherworker_shop = 0,preday,TRUE,0,0,0,0
dps,local beta_otherworker_others = 0,preday,TRUE,0,0,0,0
dps,local beta_student16_work = 0,preday,TRUE,-999,-999,-999,0
dps,local beta_student16_edu = 0,preday,TRUE,0.378534523,-1.621465477,2.378534523,0
dps,local beta_student16_shop = 0.236,preday,TRUE,-1.901526104,-3.901526104,0.098473896,0.236
