"","district1","district10","district11","district12","district13","district14","district15","district16","district17","district18","district19","district2","district20","district21","district22","district23","district24","district25","district26","district27","district28","district29","district3","district30","district31","district32","district33","district34","district35","district36","district37","district38","district39","district4","district40","district41","district42","district43","district44","district45","district46","district47","district48","district49","district5","district50","district51","district52","district53","district54","district55","district56","district57","district58","district59","district6","district60","district61","district62","district63","district64","district65","district66","district67","district68","district69","district7","district70","district71","district72","district73","district74","district75","district76","district77","district78","district8","district9"
"district1",558.06170200462,0,0,0,0,0,0,0,0,126.314332618848,0,594.092867723121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514.367984092529,0,0,0,0,0,0,0,169.652506858361,0,0,0,0,0,0,0,0,0,0,362.820830922766,0,0,0,0,0,0,0,0,0,0,64.1951651190855,0,0,0,0,971.065198343622,0,0,172.920652472509,0,0,0,0,0,0,0,0
"district10",0,7531.8132073182,109.407214809897,91.0856923401392,0,107.818348578855,335.112368515256,0,0,479.029500242242,104.758452316984,19.7133982469933,0,0,263.294799421197,78.8972155890173,0,0,123.165966120392,1223.58361925941,0,74.1382438819926,0,0,0,0,0,107.818348578855,0,0,0,1742.30596243013,0,0,467.878927212988,86.5458787966034,100.139465535204,0,328.070879799982,0,1962.73915158491,294.957976718891,0,57.48632117555,0,160.294352456225,0,614.667419795156,0,0,765.508151448572,349.577185275419,0,18.7010960075638,567.32643816141,195.557148414943,217.438866047648,192.060302340314,2422.28434673797,75.8268172243549,192.755424503137,373.880228780127,0,0,0,0,244.683870012707,0,761.792546306334,502.900315454594,0,1466.65067442105,241.532839337413,593.364197968389,0,0,1027.00546778487,165.007514464174
"district11",0,684.868057897589,3413.46823392759,241.532839337413,0,0,0,0,0,0,0,241.532839337413,167.623995711873,0,1227.84802031483,0,0,0,0,636.547883859512,0,0,0,0,0,0,0,0,0,0,0,191.313494770789,0,0,0,847.479544876739,0,0,0,0,0,164.058054218068,0,0,0,0,0,137.617742999831,0,0,0,0,0,0,0,0,0,0,682.821854901686,0,0,277.80738600296,0,0,0,0,0,0,356.166631358508,0,0,241.532839337413,0,258.10866797477,0,0,356.166631358508,0
"district12",0,308.587431012489,0,2369.85866774899,0,225.409182077764,263.475758287757,0,0,0,72.2280595333804,105.0159968757,0,253.631719492935,823.059803393131,0,0,0,0,983.861442054005,0,0,95.6857563806003,0,0,0,92.045467192897,0,0,0,0,105.0159968757,0,109.242570188344,584.01880111124,68.6190043784852,185.357992272237,282.601193559883,0,0,291.941336243375,0,212.440879708674,42.505948526807,0,143.773769951254,64.2662652699197,166.188545129791,0,0,193.444177698248,198.133987161135,200.316954414062,0,208.635313330489,228.522358100348,0,0,895.688941337643,48.3772752527488,0,129.51498278265,0,0,0,188.87313158156,126.722400996231,0,1055.22473959116,168.449499717346,0,618.539530371518,0,0,0,0,202.218184929194,171.292541781277
"district13",0,0,167.623995711873,0,1171.61775288559,120.128448103994,0,0,0,0,0,0,0,0,265.442435929143,92.6373667843964,0,0,0,0,0,0,0,0,0,0,135.543950814168,0,137.88051017917,0,378.453097154451,0,0,0,0,0,0,0,81.3410750204919,0,0,107.556102922512,0,0,0,914.987604115763,0,81.3410750204919,0,0,99.0534261965514,0,0,0,326.117059666255,0,0,705.576465714801,460.391705569468,344.90887976555,0,96.969025977153,0,0,0,107.292216692319,218.288988385483,0,0,0,0,202.508761581143,0,0,0,0,0,0
"district14",0,186.715564167872,277.80738600296,91.0856923401392,120.128448103994,1654.10820430192,0,0,0,0,0,0,0,310.967020981485,563.84190168822,0,0,0,0,48.3772752527488,91.0856923401392,0,0,0,0,65.847946551461,0,0,0,0,148.169928747818,221.704347806309,0,0,0,436.443160814131,0,87.0149541308562,0,0,85.9462144848757,0,0,0,165.19635069172,125.781426860013,0,872.434955316286,0,0,48.7917104890832,493.328472580156,0,42.4016612366142,220.838409784215,0,0,79.3894170897506,645.726193930036,189.744907362052,0,241.797573574398,0,0,0,275.938119784198,502.918435620039,0,324.281038079756,0,0,79.1946371244698,0,116.967681295321,0,0,119.160778068221,0
"district15",0,737.930967446399,0,158.459761412058,0,0,1621.97408319924,408.621612254863,0,151.117468940906,101.485731709453,20.0237574875706,0,190.460861661296,279.073427840715,0,0,0,61.0685855329008,609.717117452419,242.382156870977,0,92.045467192897,0,0,48.4335785054619,0,0,40.3784109196186,0,107.7280058942,995.502036164525,0,0,254.198879821272,25.1145307102346,0,190.460861661296,0,0,254.763055855418,0,149.778893975587,0,133.947896030162,0,0,408.621612254863,0,0,788.538098926863,0,0,408.621612254863,223.3772297136,0,0,355.657212353016,325.977322221768,0,0,160.117208195619,0,0,233.766225601089,105.0159968757,61.7052109065603,61.7052109065603,669.92968315449,472.136037065623,128.272058946445,418.35003011884,0,324.23032525205,0,0,504.352718654051,23.0282678866955
"district16",0,0,0,0,0,0,408.621612254863,3210.70980399184,0,0,0,0,0,0,0,244.803653330713,0,0,143.819096314346,558.918552443922,0,0,184.090934385794,0,0,0,0,0,0,0,0,560.577820883107,0,0,779.343403980419,0,607.866514625218,248.395697408478,0,0,0,173.595720191756,0,0,0,0,219.413517368779,0,0,0,0,0,0,0,0,0,0,0,674.388136302733,0,0,184.385173469649,0,0,0,189.24028368223,0,0,188.1850254936,0,371.479357567142,226.98518585893,0,584.999592454304,0,0,0,34.0389385777328
"district17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.8623109017205,0,0,0,0,0,0,10.6673723716381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.474513235128,0,0,0,36.5688793001442,418.816622966531,0,114.473028011811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"district18",0,499.352120763965,0,0,0,0,252.603200650358,0,0,7727.77079573574,0,0,0,388.163426489464,1153.05526038845,0,0,0,0,1215.67171289573,0,0,0,0,0,0,312.636307250675,0,66.231654700091,0,295.380416134784,1436.89958339857,117.607113848644,7.3605172246399,519.802950244758,117.259728922731,0,502.763379696016,0,204.501259256217,641.982612055719,1577.84806473807,0,158.009064651619,0,373.35989944242,85.3078140559709,191.707417987753,0,0,1064.66247541723,398.442572468574,523.757759075388,280.944195611289,208.635313330489,165.24629292196,232.802830711843,0,1033.40098257568,197.720232173415,0,143.769238169844,0,0,296.87523080301,0,250.089188716927,0,182.291718977114,284.831198352512,194.022825605415,357.215265175033,0,69.4524164307345,0,178.827066290039,86.0399588303817,210.970592542198
