id,District,asumi_nimi,newTAZ,code
16,8,Tiskre,1,district64
50,8,Tiskre,2,district64
51,8,Tiskre,3,district64
52,8,Tiskre,4,district64
80,8,Kakumäe,5,district9
81,8,Kakumäe,6,district9
82,8,Kakumäe,7,district9
84,8,Tiskre,8,district64
85,8,Tiskre,9,district64
86,8,Tiskre,10,district64
116,8,Kakumäe,11,district9
117,8,Kakumäe,12,district9
118,8,Kakumäe,13,district9
119,8,Kakumäe,14,district9
120,8,Tiskre,15,district64
121,8,Tiskre,16,district64
152,8,Kakumäe,17,district9
153,8,Kakumäe,18,district9
154,8,Kakumäe,19,district9
155,8,Vismeistri,20,district78
156,8,Tiskre,21,district64
187,8,Kakumäe,22,district9
188,8,Kakumäe,23,district9
189,8,Kakumäe,24,district9
190,8,Vismeistri,25,district78
191,8,Vismeistri,26,district78
192,8,Vismeistri,27,district78
199,8,Mäeküla,28,district31
200,8,Mäeküla,29,district31
222,8,Kakumäe,30,district9
223,8,Kakumäe,31,district9
224,8,Õismäe,32,district41
225,8,Vismeistri,33,district78
226,8,Pikaliiva,34,district48
227,8,Pikaliiva,35,district48
228,8,Pikaliiva,36,district48
230,8,Pikaliiva,37,district48
231,8,Pikaliiva,38,district48
233,8,Astangu,39,district1
234,8,Mäeküla,40,district31
235,8,Mäeküla,41,district31
236,8,Mäeküla,42,district31
258,8,Õismäe,43,district41
259,8,Õismäe,44,district41
260,8,Õismäe,45,district41
261,8,Õismäe,46,district41
262,8,Pikaliiva,47,district48
263,8,Pikaliiva,48,district48
264,8,Pikaliiva,49,district48
267,8,Pikaliiva,50,district48
268,8,Astangu,51,district1
269,8,Astangu,52,district1
270,8,Mäeküla,53,district31
271,8,Mäeküla,54,district31
276,4,Pääsküla,55,district42
277,4,Pääsküla,56,district42
278,4,Pääsküla,57,district42
279,4,Laagri,58,district23
294,8,Õismäe,59,district41
295,8,Õismäe,60,district41
296,8,Õismäe,61,district41
297,8,Õismäe,62,district41
298,8,Pikaliiva,63,district48
299,8,Pikaliiva,64,district48
300,8,Pikaliiva,65,district48
302,8,Pikaliiva,66,district48
303,8,Astangu,67,district1
305,8,Mäeküla,68,district31
306,8,Mäeküla,69,district31
307,4,Pääsküla,70,district42
308,4,Pääsküla,71,district42
309,4,Pääsküla,72,district42
310,4,Pääsküla,73,district42
311,4,Pääsküla,74,district42
312,4,Pääsküla,75,district42
313,4,Pääsküla,76,district42
314,4,Laagri,77,district23
330,8,Rocca al Mare,78,district54
331,8,Rocca al Mare,79,district54
332,8,Õismäe,80,district41
333,8,Haabersti,81,district2
334,8,Pikaliiva,82,district48
335,8,Pikaliiva,83,district48
336,8,Pikaliiva,84,district48
337,8,Väike-Õismäe,85,district72
338,8,Astangu,86,district1
339,8,Astangu,87,district1
340,8,Mäeküla,88,district31
341,4,Vana-Mustamäe,89,district73
342,4,Vana-Mustamäe,90,district73
343,4,Pääsküla,91,district42
344,4,Pääsküla,92,district42
345,4,Pääsküla,93,district42
346,4,Pääsküla,94,district42
347,4,Pääsküla,95,district42
348,4,Pääsküla,96,district42
349,4,Pääsküla,97,district42
350,4,Pääsküla,98,district42
366,8,Rocca al Mare,99,district54
367,8,Rocca al Mare,100,district54
368,8,Haabersti,101,district2
369,8,Pikaliiva,102,district48
370,8,Väike-Õismäe,103,district72
371,8,Väike-Õismäe,104,district72
372,8,Väike-Õismäe,105,district72
373,8,Astangu,106,district1
374,8,Astangu,107,district1
375,2,Kadaka,108,district7
376,4,Vana-Mustamäe,109,district73
377,4,Hiiu,110,district3
378,4,Pääsküla,111,district42
379,4,Pääsküla,112,district42
380,4,Pääsküla,113,district42
381,4,Pääsküla,114,district42
382,4,Pääsküla,115,district42
383,4,Pääsküla,116,district42
384,4,Pääsküla,117,district42
394,3,Kopli,118,district18
395,3,Kopli,119,district18
401,8,Rocca al Mare,120,district54
402,8,Rocca al Mare,121,district54
403,8,Haabersti,122,district2
404,8,Veskimetsa,123,district77
405,8,Väike-Õismäe,124,district72
406,8,Väike-Õismäe,125,district72
407,8,Väike-Õismäe,126,district72
408,2,Kadaka,127,district7
409,2,Kadaka,128,district7
410,4,Kadaka,129,district7
411,4,Vana-Mustamäe,130,district73
412,4,Hiiu,131,district3
413,4,Kivimäe,132,district16
414,4,Kivimäe,133,district16
415,4,Pääsküla,134,district42
416,4,Pääsküla,135,district42
417,4,Pääsküla,136,district42
429,3,Kopli,137,district18
430,3,Kopli,138,district18
431,3,Kopli,139,district18
437,8,Haabersti,140,district2
438,8,Veskimetsa,141,district77
439,8,Veskimetsa,142,district77
440,8,Veskimetsa,143,district77
441,8,Väike-Õismäe,144,district72
442,2,Kadaka,145,district7
443,2,Mustamäe,146,district38
444,2,Kadaka,147,district7
445,2,Kadaka,148,district7
