id,status,residence,work
21,6,497,27
23,7,475,0
35,6,595,271
91,6,439,0
96,6,439,0
101,1,548,568
107,4,569,166
112,7,457,0
118,1,568,342
120,4,423,388
127,1,582,460
157,1,423,163
161,1,422,342
169,6,549,0
174,1,477,205
200,6,436,460
202,1,547,288
205,1,497,19
211,6,477,290
219,1,497,383
228,6,438,0
243,1,568,549
259,6,581,329
263,1,529,517
267,1,528,237
269,1,457,196
274,7,457,0
279,1,477,326
315,1,410,175
342,6,595,89
345,6,581,0
360,6,477,0
361,1,403,41
368,6,582,37
370,6,439,0
372,7,582,0
374,1,550,196
376,4,595,388
396,7,477,0
403,1,476,248
418,4,437,166
426,1,458,121
433,99,567,0
466,1,457,281
467,1,606,249
478,1,594,583
489,1,405,244
494,7,458,0
500,7,582,0
506,6,423,370
511,1,550,443
514,1,477,324
516,6,497,0
537,1,439,162
547,1,581,233
554,7,529,0
555,1,474,445
579,1,496,91
584,6,458,0
589,7,528,0
593,7,458,0
608,1,547,445
646,7,439,0
670,1,475,498
673,6,497,300
722,99,582,0
731,6,569,371
735,1,439,309
741,1,582,146
768,1,582,312
800,7,548,0
801,1,497,343
808,99,457,0
824,1,496,331
828,6,475,303
833,6,567,0
842,4,496,166
851,1,569,432
852,6,594,582
858,1,457,566
864,7,495,0
867,1,458,28
876,7,403,0
879,1,497,106
891,6,404,205
902,1,403,139
931,99,550,0
954,7,568,0
956,1,547,15
957,1,497,515
981,7,495,0
986,1,581,252
999,1,528,462
1001,6,529,0
1006,7,549,0
1029,7,403,0
1032,1,568,582
1052,1,547,159
1084,1,606,569
1090,1,547,68
1105,99,495,0
1107,6,569,0
1116,1,582,562
1127,6,604,0
1128,6,569,231
1131,1,423,139
1142,7,547,0
1144,1,548,248
1155,7,582,0
1156,1,414,537
1166,6,605,122
1171,1,568,351
1175,7,476,0
1178,1,529,59
1182,6,438,380
1206,6,595,0
1207,1,423,406
1243,1,458,515
1258,6,547,0
1260,7,550,0
1283,99,595,0
1289,7,548,0
1299,7,582,0
1304,6,496,351
1313,99,496,0
1316,6,568,250
1324,1,476,108
1339,1,457,386
1342,1,566,528
1357,1,438,99
1381,7,404,0
1400,1,438,177
1475,6,594,46
1478,1,475,106
1489,1,604,196
1496,1,457,104
1515,7,529,0
1523,1,458,166
1524,7,582,0
1531,6,594,302
1535,6,458,0
1539,99,496,0
1542,6,604,0
1543,7,582,0
1554,1,497,296
1558,1,411,428
1563,7,477,0
1565,1,457,337
1574,1,594,281
1577,6,457,172
1581,1,583,553
1584,99,457,0
1595,99,595,0
1611,4,496,388
1616,1,458,196
1622,1,477,421
1632,4,422,388
1635,7,547,0
1659,6,582,266
1665,1,582,129
1674,1,439,452
1679,1,438,193
1684,1,458,476
1685,1,582,407
1693,7,583,0
1703,1,568,517
1707,6,604,457
1725,1,549,370
1742,1,595,100
1744,6,547,257
1749,4,423,166
1750,1,595,86
1753,1,458,366
1769,1,568,597
1773,7,604,0
1788,6,567,464
1814,7,439,0
1815,6,582,0
1829,7,439,0
1833,7,457,0
1835,99,435,0
1846,1,529,440
1853,7,477,0
1873,1,458,194
1879,1,549,125
1897,6,568,472
1911,1,457,425
1913,7,582,0
1943,6,594,182
1961,6,583,281
1979,7,581,0
1989,4,403,388
1996,1,606,338
2000,1,438,148
2012,6,475,0
2021,1,582,392
2037,7,412,0
2039,4,547,166
2050,1,547,353
2051,1,567,84
2060,1,404,101
2063,7,529,0
2064,7,457,0
2090,6,475,165
2099,6,477,363
2108,7,458,0
2109,6,605,0
2119,1,581,78
2120,7,497,0
2133,6,604,0
2134,1,604,169
2141,1,423,460
2157,6,477,0
2175,4,582,166
2176,1,423,396
2180,7,411,0
2187,1,496,410
2191,1,477,357
2194,7,529,0
2198,7,550,0
2216,1,582,301
2217,1,458,368
2227,1,495,446
2250,1,477,494
2261,99,405,0
2270,7,547,0
2273,1,403,411
2274,7,477,0
2281,1,477,288
2283,1,438,404
2297,6,582,68
2302,1,422,438
2304,6,550,0
2305,1,437,420
2322,4,476,388
2342,6,581,552
2347,6,495,0
2356,6,595,372
2364,6,439,395
2371,1,547,229
2376,1,595,414
2385,1,439,68
2388,7,403,0
2412,1,439,508
2420,6,529,132
2421,1,581,41
2422,7,476,0
2425,6,567,107
2441,7,497,0
2450,6,581,280
2466,7,548,0
2482,6,477,0
2496,7,604,0
2498,1,439,8
2501,7,403,0
2543,6,439,0
2580,99,496,0
2581,7,583,0
2584,6,582,414
2641,1,403,378
2650,6,423,355
2657,6,404,596
2664,7,477,0
2673,1,568,459
2678,6,582,0
2700,1,547,512
2702,1,529,517
2731,4,595,166
2735,7,583,0
2742,1,458,296
2743,6,423,0
2760,7,404,0
2762,7,477,0
2769,6,569,256
2774,6,411,397
2785,7,477,0
2790,7,547,0
2805,1,568,256
2818,6,457,444
2826,6,547,187
2832,6,476,391
2839,1,457,375
2877,1,403,137
2890,6,569,169
2899,6,422,410
2901,1,569,528
2943,1,528,159
2946,1,477,526
2957,6,547,364
2973,6,497,181
2986,6,475,0
2996,6,567,0
3022,1,550,298
3028,7,458,0
3033,6,439,229
3037,6,457,0
3046,1,439,613
3047,7,548,0
3084,7,404,0
3087,1,547,496
3089,1,457,26
3091,1,497,104
3103,7,582,0
3107,1,458,479
3117,7,476,0
3124,7,437,0
3126,7,476,0
3130,1,439,301
3141,1,593,272
3147,1,474,165
3153,1,568,358
3156,6,495,301
3169,6,606,0
3178,6,439,0
3199,6,477,394
3203,1,568,574
3225,1,605,120
3227,6,411,210
3228,6,549,606
3230,7,567,0
3234,6,458,28
3235,6,458,167
3239,6,411,0
3245,7,438,0
3246,1,423,372
3251,7,495,0
3254,1,606,78
3258,6,548,0
3259,1,412,221
3277,1,528,501
3282,1,548,196
3283,1,422,401
3293,6,528,99
3310,6,568,0
3311,1,548,488
3319,1,550,78
3322,1,582,456
3326,1,477,96
3337,1,528,556
3345,1,438,419
3346,6,423,186
3367,1,495,205
3369,7,547,0
3417,6,568,518
3431,6,604,268
3433,6,568,0
3435,4,495,166
3450,1,423,412
3468,1,549,186
3473,7,414,0
3477,1,528,104
3490,4,511,388
3496,7,547,0
3500,1,567,147
3515,7,495,0
3525,6,547,410
3556,1,411,383
3568,1,595,9
3582,99,511,0
3584,1,595,607
3588,1,566,420
3613,6,594,443
3616,1,606,595
3625,1,458,274
3630,7,547,0
3637,1,581,120
3640,1,547,161
3642,1,595,248
3650,1,566,321
3678,1,550,301
3702,4,582,166
3705,6,604,0
3717,1,443,278
3730,6,457,387
3733,4,529,388
3734,6,567,615
3738,7,547,0
3758,7,529,0
3767,99,458,0
3789,1,454,457
3804,1,458,62
3814,7,550,0
3820,1,439,137
3841,1,550,535
3855,1,582,426
3864,1,405,131
3868,1,495,294
3877,6,613,0
3879,1,569,196
3889,1,582,386
3912,7,529,0
3933,1,583,71
3949,1,568,147
3967,1,475,225
3968,1,594,491
3969,1,457,402
3971,1,496,270
3973,6,547,434
3978,1,511,341
3979,4,411,166
3981,1,568,529
3996,7,476,0
3999,1,604,121
4009,1,458,493
4012,1,458,196
4020,99,549,0
4029,1,606,273
4045,7,550,0
4046,4,595,166
4047,4,529,166
4049,99,549,0
4056,99,595,0
4081,99,605,0
4134,6,439,248
4166,6,414,99
4178,1,583,277
4179,99,440,0
4201,1,458,309
4213,6,457,275
4216,7,404,0
4232,6,605,397
4233,6,411,141
4240,6,548,0
4259,7,411,0
4267,4,604,388
4269,7,495,0
4270,1,439,345
4273,7,529,0
4281,7,511,0
4287,1,547,483
4290,7,423,0
4293,1,497,323
4317,6,495,0
4323,7,411,0
4348,1,528,340
4370,7,457,0
4371,6,595,308
4374,1,594,196
4395,99,606,0
4401,7,547,0
4419,6,582,0
4428,7,547,0
4431,1,477,230
4433,1,457,409
4434,6,566,0
4436,7,549,0
4441,1,547,577
4444,6,606,578
4446,1,457,252
4455,4,423,166
4466,1,458,156
4469,1,477,503
4471,7,439,0
4477,1,439,612
4483,1,568,184
4489,1,567,281
4520,4,477,367
4523,1,547,358
4525,6,422,393
4533,7,549,0
4538,6,604,352
4548,6,476,0
4549,6,477,0
4559,7,476,0
4576,1,411,401
4577,7,477,0
4584,99,477,0
4605,1,497,477
4610,7,511,0
4623,7,458,0
4626,6,496,0
4631,1,475,276
4633,1,477,270
4634,7,528,0
4636,1,404,406
4659,1,458,517
4663,7,423,0
4669,1,568,196
4689,7,604,0
